CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_06_PARC_B6_C6.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C6
2005_06_06_PARC_B6_C7.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C7
2005_06_06_PARC_B6_C8.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C8
2005_06_06_PARC_B6_C9.aif,2005,Nica,PARC,PARC_B6,PARC_B6_C9
2005_06_06_PARC_B8_C0.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C0
2005_06_06_PARC_B8_C1.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C1
2005_06_06_PARC_B8_C2.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C2
2005_06_06_PARC_B8_C3.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C3
2005_06_06_PARC_B8_C4.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C4
2005_06_06_PARC_B8_C5.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C5
2005_06_06_PARC_B8_C6.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C6
2005_06_06_PARC_B8_C7.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C7
2005_06_06_PARC_B8_C8.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C8
2005_06_06_PARC_B8_C9.aif,2005,Nica,PARC,PARC_B8,PARC_B8_C9
2005_06_06_PARC_B9_C0.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C0
2005_06_06_PARC_B9_C1.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C1
2005_06_06_PARC_B9_C2.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C2
2005_06_06_PARC_B9_C3.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C3
2005_06_06_PARC_B9_C4.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C4
2005_06_06_PARC_B9_C5.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C5
2005_06_06_PARC_B9_C6.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C6
2005_06_06_PARC_B9_C7.aif,2005,Nica,PARC,PARC_B9,PARC_B9_C7
2005_06_09_PEBL_B2_C0.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C0
2005_06_09_PEBL_B2_C1.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C1
2005_06_09_PEBL_B2_C2.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C2
2005_06_09_PEBL_B2_C3.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C3
2005_06_09_PEBL_B2_C4.aif,2005,Nica,PEBL,PEBL_B2,PEBL_B2_C4
